Alleles,ChinRhe,IndiRhe,IndoCyn,MaurCyn,Total,Leader only,Upstream only,Both primers sets
IGHD1-1*01,12,15,6,12,45,F,F,T
IGHD1-2*01,12,15,6,12,45,F,F,T
IGHD1-3*01,12,15,6,12,45,F,F,T
IGHD1-4*01,12,15,6,12,45,F,F,T
IGHD1-5*01,12,15,6,12,45,F,F,T
IGHD1-6*01,12,15,6,12,45,F,F,T
IGHD1-7*01,12,15,6,12,45,F,F,T
IGHD1-8*01,12,15,6,12,45,F,F,T
IGHD2-10*01,12,15,5,6,38,F,F,T
IGHD2-10*01_S295,0,1,1,10,12,F,F,T
IGHD2-10*01_S8741,4,1,3,8,16,F,F,T
IGHD2-11*01,12,15,6,12,45,F,F,T
IGHD2-11*01_S1259,6,4,5,8,23,F,F,T
IGHD2-12*01,12,15,6,12,45,F,F,T
IGHD2-13*01,12,15,6,12,45,F,F,T
IGHD2-14*01,1,3,3,8,15,F,F,T
IGHD2-14*02_S0040,3,2,4,12,21,F,F,T
IGHD2-14*02_S0100,12,15,6,10,43,F,F,T
IGHD2-14*02_S1717,2,2,1,4,9,F,F,T
IGHD2-9*01,12,15,6,12,45,F,F,T
IGHD3-15*01,12,15,6,12,45,F,F,T
IGHD3-16*01,12,15,1,12,40,F,F,T
IGHD3-17*01,12,15,6,12,45,F,F,T
IGHD3-18*01,12,15,6,12,45,F,F,T
IGHD3-19*02_S4720,12,15,6,12,45,F,F,T
IGHD3-20*01,12,15,6,12,45,F,F,T
IGHD3-41*01,7,9,2,5,23,F,F,T
IGHD3-41*01_S1308,2,0,2,0,4,F,F,T
IGHD3-41*01_S1524,3,0,4,0,7,F,F,T
IGHD3-41*01_S4389,2,0,0,0,2,F,F,T
IGHD3-41*01_S8240,7,13,3,12,35,F,F,T
IGHD4-21*01,7,11,4,10,32,F,F,T
IGHD4-23*01,12,15,6,12,45,F,F,T
IGHD4-24*01,12,15,6,12,45,F,F,T
IGHD4-25*01,12,15,6,12,45,F,F,T
IGHD5-27*01,12,15,6,12,45,F,F,T
IGHD5-28*01,12,15,6,11,44,F,F,T
IGHD5-28*01_S4021,0,0,0,5,5,F,F,T
IGHD5-29*01,2,3,0,1,6,F,F,T
IGHD5-31*01,12,15,6,12,45,F,F,T
IGHD5-32*01,10,12,6,11,39,F,F,T
IGHD5-32*01_S0263,8,5,5,0,18,F,F,T
IGHD5-32*01_S0995,11,14,4,12,41,F,F,T
IGHD5-32*01_S2987,5,0,0,0,5,F,F,T
IGHD6-33*01,12,15,6,12,45,F,F,T
IGHD6-33*01_S4467,0,0,0,1,1,F,F,T
IGHD6-34*01,12,15,6,12,45,F,F,T
IGHD6-35*01,12,15,6,12,45,F,F,T
IGHD6-36*01,12,15,6,12,45,F,F,T
IGHD6-38*01,12,15,6,12,45,F,F,T
IGHD6-38*01_S4618,3,3,2,7,15,F,F,T
IGHD6-39*01,12,15,6,12,45,F,F,T
IGHD6-39*01_S0850,7,2,0,0,9,F,F,T
IGHD7-40*01,12,15,6,12,45,F,F,T
